base64, 48.57%
basename, 79.49%
cat, 66.38%
chcon, 22.05%
chgrp, 65.56%
chown, 65.59%
chroot, 62.16%
cksum, 91.94%
comm, 78.57%
cp, 41.46%
csplit, 53.76%
cut, 52.03%
date, 48.05%
df, 64.15%
dircolors, 73.16%
dirname, 74.19%
echo, 27.18%
env, 100.0%
expand, 43.05%
expr, 48.22%
factor, 71.64%
fmt, 68.65%
fold, 41.59%
hostid, 63.64%
hostname, 67.86%
id, 42.19%
join, 15.19%
link, 75.0%
ln, 75.77%
logname, 56.0%
ls, 44.44%
mkdir, 77.27%
mkfifo, 36.17%
mknod, 56.1%
mktemp, 88.89%
nice, 61.02%
nl, 40.28%
nohup, 77.63%
od, 40.65%
paste, 66.84%
pathchk, 46.97%
pinky, 84.19%
pr, 38.08%
printenv, 77.14%
printf, 74.32%
pwd, 20.34%
readlink, 96.0%
runcon, 54.37%
seq, 53.04%
setuidgid, 55.84%
shuf, 59.88%
sleep, 45.65%
split, 45.62%
stat, 35.93%
stty, 29.43%
tee, 86.96%
touch, 56.25%
tr, 22.15%
tsort, 58.62%
tty, 76.67%
uname, 79.55%
unexpand, 47.42%
uniq, 64.32%
unlink, 72.0%
uptime, 83.33%
users, 98.08%
who, 83.45%
whoami, 53.85%
