base64, 76.19%
basename, 100.0%
cat, 68.53%
chcon, 49.23%
chgrp, 54.44%
chown, 45.16%
chroot, 62.16%
cksum, 91.94%
comm, 95.92%
cp, 34.96%
csplit, 66.61%
cut, 58.11%
date, 55.19%
df, 51.75%
dircolors, 79.47%
dirname, 100.0%
echo, 95.15%
env, 100.0%
expand, 50.99%
expr, 51.48%
factor, 85.07%
fmt, 61.44%
fold, 57.52%
hostid, 100.0%
hostname, 96.43%
id, 28.13%
join, 67.8%
link, 96.43%
ln, 48.45%
logname, 92.0%
ls, 28.39%
mkdir, 71.21%
mkfifo, 76.6%
mknod, 75.61%
mktemp, 94.95%
nice, 96.61%
nl, 54.98%
nohup, 77.63%
od, 45.43%
paste, 72.73%
pathchk, 68.18%
pinky, 60.68%
pr, 43.05%
printenv, 100.0%
printf, 56.81%
pwd, 20.34%
readlink, 72.0%
runcon, 72.82%
seq, 47.51%
setuidgid, 63.64%
shuf, 73.84%
sleep, 63.04%
split, 51.61%
stat, 36.21%
stty, 48.68%
tee, 75.36%
touch, 59.72%
tr, 47.95%
tsort, 42.86%
tty, 96.67%
uname, 67.05%
unexpand, 54.64%
uniq, 74.05%
unlink, 100.0%
uptime, 91.03%
users, 90.38%
who, 70.14%
whoami, 92.31%
